"SUBSTANCIA";"CO_ANO";"EX_FOB";"QUANTIDADE_TON";"id_Subs_Ano"
"Água Mineral";"2016";8525137;25069,295;"Água Mineral_2016"
"Água Mineral";"2017";9350826;23192,148;"Água Mineral_2017"
"Água Mineral";"2018";11266996;29288,124;"Água Mineral_2018"
"Amianto";"2016";50823042;102670,852;"Amianto_2016"
"Amianto";"2017";56241017;116934,29;"Amianto_2017"
"Amianto";"2018";46275124;107714,54;"Amianto_2018"
"Antimônio";"2016";14612;1,707;"Antimônio_2016"
"Antimônio";"2017";527;0,035;"Antimônio_2017"
"Antimônio";"2018";67354;23,137;"Antimônio_2018"
"Areia";"2016";146137;2562,046;"Areia_2016"
"Areia";"2017";47101;996,428;"Areia_2017"
"Areia";"2018";71795;1767,969;"Areia_2018"
"Argilas Comuns";"2016";23612470;83023,077;"Argilas Comuns_2016"
"Argilas Comuns";"2017";351296454;1399830,021;"Argilas Comuns_2017"
"Argilas Comuns";"2018";461045609;1542809,236;"Argilas Comuns_2018"
"Argilas Plásticas";"2016";335867212;1257771,694;"Argilas Plásticas_2016"
"Argilas Plásticas";"2017";61518477;43581,738;"Argilas Plásticas_2017"
"Argilas Plásticas";"2018";63655058;30508,272;"Argilas Plásticas_2018"
"Argilas Refratárias";"2016";16858019;14620,44;"Argilas Refratárias_2016"
"Argilas Refratárias";"2017";15773536;13483,178;"Argilas Refratárias_2017"
"Argilas Refratárias";"2018";16775761;10737,167;"Argilas Refratárias_2018"
"Bário";"2016";2021604;6613,233;"Bário_2016"
"Bário";"2017";455168;363,06;"Bário_2017"
"Bário";"2018";218766;399,288;"Bário_2018"
"Bauxita";"2016";3787177218;20660326,219;"Bauxita_2016"
"Bauxita";"2017";4168963623;19134045,56;"Bauxita_2017"
"Bauxita";"2018";4057662796;16025892,111;"Bauxita_2018"
"Bentonita";"2016";10655875;16461,377;"Bentonita_2016"
"Bentonita";"2017";9440068;15674,934;"Bentonita_2017"
"Bentonita";"2018";6511235;12012,635;"Bentonita_2018"
"Bismuto";"2016";83598;0,308;"Bismuto_2016"
"Bismuto";"2017";80715;45,199;"Bismuto_2017"
"Bismuto";"2018";33115;0,275;"Bismuto_2018"
"Boro";"2016";503058;148,284;"Boro_2016"
"Boro";"2017";407952;152,898;"Boro_2017"
"Boro";"2018";480880;193,925;"Boro_2018"
"Bromo";"2016";775057;1083,2;"Bromo_2016"
"Bromo";"2017";1400676;1685,385;"Bromo_2017"
"Bromo";"2018";681700;1088,497;"Bromo_2018"
"Cádmio";"2016";2332683;361,868;"Cádmio_2016"
"Cádmio";"2017";3325252;389,638;"Cádmio_2017"
"Cádmio";"2018";2865358;464,943;"Cádmio_2018"
"Calcário";"2016";73069700;515217,428;"Calcário_2016"
"Calcário";"2017";55365214;248111,78;"Calcário_2017"
"Calcário";"2018";55781867;233488,71;"Calcário_2018"
"Carvão Mineral";"2016";39602211;137513,218;"Carvão Mineral_2016"
"Carvão Mineral";"2017";50783110;111990,359;"Carvão Mineral_2017"
"Carvão Mineral";"2018";79343997;129129,037;"Carvão Mineral_2018"
"Caulim";"2016";269855583;1821120,188;"Caulim_2016"
"Caulim";"2017";260184702;1735603,113;"Caulim_2017"
"Caulim";"2018";211711419;1595202,951;"Caulim_2018"
"Chumbo";"2016";149159425;70946,778;"Chumbo_2016"
"Chumbo";"2017";195373544;80810,778;"Chumbo_2017"
"Chumbo";"2018";169759671;73253,799;"Chumbo_2018"
"Cobalto";"2016";6142705;327,889;"Cobalto_2016"
"Cobalto";"2017";901120;198,656;"Cobalto_2017"
"Cobalto";"2018";2972657;203,383;"Cobalto_2018"
"Cobre";"2016";2890030178;1360357,589;"Cobre_2016"
"Cobre";"2017";3283038097;1384816,22;"Cobre_2017"
"Cobre";"2018";3554147550;1401144,606;"Cobre_2018"
"Coríndon";"2016";274569;108,098;"Coríndon_2016"
"Coríndon";"2018";326;0,1;"Coríndon_2018"
"Cromo";"2016";391859148;264787,8;"Cromo_2016"
"Cromo";"2017";384721149;237961,041;"Cromo_2017"
"Cromo";"2018";324380529;183509,723;"Cromo_2018"
"Diamante";"2016";45072766;303,333;"Diamante_2016"
"Diamante";"2017";67789945;236,851;"Diamante_2017"
"Diamante";"2018";55521773;164,286;"Diamante_2018"
"Diatomita";"2016";753682;686,907;"Diatomita_2016"
"Diatomita";"2017";725077;716,786;"Diatomita_2017"
"Diatomita";"2018";721463;794,781;"Diatomita_2018"
"Dolomita";"2016";4061958;213780,467;"Dolomita_2016"
"Dolomita";"2017";5298516;253594,611;"Dolomita_2017"
"Dolomita";"2018";13924694;249675,304;"Dolomita_2018"
"Enxofre";"2016";7949910;8853,231;"Enxofre_2016"
"Enxofre";"2017";14157640;10176,045;"Enxofre_2017"
"Enxofre";"2018";20711604;12339,854;"Enxofre_2018"
"Estanho";"2016";170558977;10822,846;"Estanho_2016"
"Estanho";"2017";220799443;13606,895;"Estanho_2017"
"Estanho";"2018";218615143;12418,513;"Estanho_2018"
"Estrôncio";"2016";70323;141;"Estrôncio_2016"
"Estrôncio";"2017";82354;9,466;"Estrôncio_2017"
"Estrôncio";"2018";126034;156;"Estrôncio_2018"
"Feldspato";"2016";875489;2486,693;"Feldspato_2016"
"Feldspato";"2017";712924;1488,201;"Feldspato_2017"
"Feldspato";"2018";1547499;2511,775;"Feldspato_2018"
"Ferro";"2016";20136507092;390349798,013;"Ferro_2016"
"Ferro";"2017";28811775250;402541688,596;"Ferro_2017"
"Ferro";"2018";30560718480;407336516,216;"Ferro_2018"
"Fluorita";"2016";1040780;1323,059;"Fluorita_2016"
"Fluorita";"2017";1010665;546,247;"Fluorita_2017"
"Fluorita";"2018";1225513;604,879;"Fluorita_2018"
"Fosfato";"2016";168128134;421097,913;"Fosfato_2016"
"Fosfato";"2017";164149092;391426,089;"Fosfato_2017"
"Fosfato";"2018";170092077;374242,44;"Fosfato_2018"
"Gemas";"2016";170734077;19522,142;"Gemas_2016"
"Gemas";"2017";166266818;20946,368;"Gemas_2017"
"Gemas";"2018";166276147;18823,644;"Gemas_2018"
"Gipsita";"2016";3237582;30247,759;"Gipsita_2016"
"Gipsita";"2017";3641170;35158,392;"Gipsita_2017"
"Gipsita";"2018";3843579;34588,258;"Gipsita_2018"
"Grafita";"2016";37203082;31640,713;"Grafita_2016"
"Grafita";"2017";39912099;30769,282;"Grafita_2017"
"Grafita";"2018";48091034;34137,048;"Grafita_2018"
"Iodo";"2016";5740635;255,035;"Iodo_2016"
"Iodo";"2017";4801740;234,083;"Iodo_2017"
"Iodo";"2018";5552646;226,866;"Iodo_2018"
"Irídio";"2018";228750;0,024;"Irídio_2018"
"Lítio";"2016";4196227;45,85;"Lítio_2016"
"Lítio";"2017";1155790;12,831;"Lítio_2017"
"Lítio";"2018";3109477;3090,856;"Lítio_2018"
"Magnésio";"2016";83773548;231124,798;"Magnésio_2016"
"Magnésio";"2017";124545751;318483,294;"Magnésio_2017"
"Magnésio";"2018";143760354;276882,68;"Magnésio_2018"
"Manganês";"2016";291317282;2099595,726;"Manganês_2016"
"Manganês";"2017";482325201;2781659,038;"Manganês_2017"
"Manganês";"2018";499193994;2689342,282;"Manganês_2018"
"Materiais Radioativos";"2016";5051006;23,523;"Materiais Radioativos_2016"
"Materiais Radioativos";"2017";1107390;15,002;"Materiais Radioativos_2017"
"Materiais Radioativos";"2018";4084275;26,411;"Materiais Radioativos_2018"
"Mercúrio";"2016";14439;253,023;"Mercúrio_2016"
"Mercúrio";"2017";231;0,003;"Mercúrio_2017"
"Mercúrio";"2018";501;0,002;"Mercúrio_2018"
"Metais Preciosos - Diversos";"2016";281705985;8609,409;"Metais Preciosos - Diversos_2016"
"Metais Preciosos - Diversos";"2017";283769924;8201,541;"Metais Preciosos - Diversos_2017"
"Metais Preciosos - Diversos";"2018";379845957;9679,205;"Metais Preciosos - Diversos_2018"
"Mica";"2016";8223400;4940,968;"Mica_2016"
"Mica";"2017";8671798;4346,775;"Mica_2017"
"Mica";"2018";7707085;4572,612;"Mica_2018"
"Minerais Abrasivos - Diversos";"2016";58076384;9059,206;"Minerais Abrasivos - Diversos_2016"
"Minerais Abrasivos - Diversos";"2017";62510916;9653,024;"Minerais Abrasivos - Diversos_2017"
"Minerais Abrasivos - Diversos";"2018";63803473;10327,505;"Minerais Abrasivos - Diversos_2018"
"Minerais Abrasivos - Outros";"2016";3453;0,245;"Minerais Abrasivos - Outros_2016"
"Minerais Abrasivos - Outros";"2017";3949;0,496;"Minerais Abrasivos - Outros_2017"
"Minerais Abrasivos - Outros";"2018";4645;0,368;"Minerais Abrasivos - Outros_2018"
"Minerais Metálicos - Diversos";"2016";1460320474;149609,643;"Minerais Metálicos - Diversos_2016"
"Minerais Metálicos - Diversos";"2017";1696366649;151851,921;"Minerais Metálicos - Diversos_2017"
"Minerais Metálicos - Diversos";"2018";1608109458;162561,754;"Minerais Metálicos - Diversos_2018"
"Minerais Metálicos - Outros";"2016";500730;675,264;"Minerais Metálicos - Outros_2016"
"Minerais Metálicos - Outros";"2017";430773;601,613;"Minerais Metálicos - Outros_2017"
"Minerais Metálicos - Outros";"2018";264669;886,993;"Minerais Metálicos - Outros_2018"
"Minerais Refratários - Diversos";"2016";100378069;74705,367;"Minerais Refratários - Diversos_2016"
"Minerais Refratários - Diversos";"2017";100950829;70767,456;"Minerais Refratários - Diversos_2017"
"Minerais Refratários - Diversos";"2018";105406202;65515,458;"Minerais Refratários - Diversos_2018"
"Minerais Refratários - Outros";"2016";58648;68,067;"Minerais Refratários - Outros_2016"
"Minerais Refratários - Outros";"2017";78946;58,089;"Minerais Refratários - Outros_2017"
"Minerais Refratários - Outros";"2018";24224;30,49;"Minerais Refratários - Outros_2018"
"Molibdênio";"2016";5606213;1030,435;"Molibdênio_2016"
"Molibdênio";"2017";2908108;744,634;"Molibdênio_2017"
"Molibdênio";"2018";4549084;810,626;"Molibdênio_2018"
"Nióbio";"2016";1331514780;64657,552;"Nióbio_2016"
"Nióbio";"2017";1608188082;80716,764;"Nióbio_2017"
"Nióbio";"2018";2011633328;95528,441;"Nióbio_2018"
"Níquel";"2016";622602955;251250,747;"Níquel_2016"
"Níquel";"2017";596309255;213817,241;"Níquel_2017"
"Níquel";"2018";694138408;200204,505;"Níquel_2018"
"Ouro";"2016";2928829524;79,361;"Ouro_2016"
"Ouro";"2017";2826045168;75,674;"Ouro_2017"
"Ouro";"2018";2833925143;94,959;"Ouro_2018"
"Paládio";"2016";5548381;7,477;"Paládio_2016"
"Paládio";"2017";2008733;6,912;"Paládio_2017"
"Paládio";"2018";1767654;0,057;"Paládio_2018"
"Perlita";"2016";4825;22,5;"Perlita_2016"
"Perlita";"2017";5608;25,05;"Perlita_2017"
"Platina";"2016";18793233;136,731;"Platina_2016"
"Platina";"2017";18898650;8,19;"Platina_2017"
"Platina";"2018";45556316;35,153;"Platina_2018"
"Platina (Grupo) - Diversos";"2018";234298;1,508;"Platina (Grupo) - Diversos_2018"
"Potássio";"2016";44224519;43496,223;"Potássio_2016"
"Potássio";"2017";37151912;41214,18;"Potássio_2017"
"Potássio";"2018";32598587;30178,112;"Potássio_2018"
"Prata";"2016";61024945;995,793;"Prata_2016"
"Prata";"2017";61500960;1093,93;"Prata_2017"
"Prata";"2018";40687800;1186,784;"Prata_2018"
"Quartzo (Cristal)";"2016";12078020;14061,769;"Quartzo (Cristal)_2016"
"Quartzo (Cristal)";"2017";9933913;17418,174;"Quartzo (Cristal)_2017"
"Quartzo (Cristal)";"2018";11723346;20181,497;"Quartzo (Cristal)_2018"
"Rochas Betuminosas";"2016";11915593;17999,719;"Rochas Betuminosas_2016"
"Rochas Betuminosas";"2017";12330416;16907,494;"Rochas Betuminosas_2017"
"Rochas Betuminosas";"2018";11938628;16622,88;"Rochas Betuminosas_2018"
"Rochas Britadas e Cascalho";"2016";1831621;76718,211;"Rochas Britadas e Cascalho_2016"
"Rochas Britadas e Cascalho";"2017";1343297;60379,879;"Rochas Britadas e Cascalho_2017"
"Rochas Britadas e Cascalho";"2018";1557309;101384,348;"Rochas Britadas e Cascalho_2018"
"Rochas e Minerais Industriais - Diversos";"2016";42914645;20394,527;"Rochas e Minerais Industriais - Diversos_2016"
"Rochas e Minerais Industriais - Diversos";"2017";55176790;24209,02;"Rochas e Minerais Industriais - Diversos_2017"
"Rochas e Minerais Industriais - Diversos";"2018";52443251;23223,894;"Rochas e Minerais Industriais - Diversos_2018"
"Rochas e Minerais Industriais - Outros";"2016";1398554;1242,203;"Rochas e Minerais Industriais - Outros_2016"
"Rochas e Minerais Industriais - Outros";"2017";3338173;582,366;"Rochas e Minerais Industriais - Outros_2017"
"Rochas e Minerais Industriais - Outros";"2018";3063316;164,611;"Rochas e Minerais Industriais - Outros_2018"
"Rochas Ornamentais";"2016";1138338381;2458860,349;"Rochas Ornamentais_2016"
"Rochas Ornamentais";"2017";1107448553;2358848,278;"Rochas Ornamentais_2017"
"Rochas Ornamentais";"2018";991620573;2194197,049;"Rochas Ornamentais_2018"
"Ródio";"2017";3804;0,089;"Ródio_2017"
"Rutênio";"2018";33411;0,057;"Rutênio_2018"
"Sal";"2016";56725409;1180516,697;"Sal_2016"
"Sal";"2017";68976427;1073528,565;"Sal_2017"
"Sal";"2018";51769246;815546,062;"Sal_2018"
"Selênio";"2016";102190;5,75;"Selênio_2016"
"Selênio";"2017";146615;6,213;"Selênio_2017"
"Selênio";"2018";165447;4,2;"Selênio_2018"
"Silício";"2016";896269489;687563,414;"Silício_2016"
"Silício";"2017";862587092;661275,942;"Silício_2017"
"Silício";"2018";1061641211;682457,782;"Silício_2018"
"Talco";"2016";6046879;12570,116;"Talco_2016"
"Talco";"2017";6612020;14770,531;"Talco_2017"
"Talco";"2018";5955713;11696,265;"Talco_2018"
"Tântalo";"2016";18069193;1159,718;"Tântalo_2016"
"Tântalo";"2017";28421930;1817,263;"Tântalo_2017"
"Tântalo";"2018";12264880;662,489;"Tântalo_2018"
"Terras Raras";"2016";2711973;4675,64;"Terras Raras_2016"
"Terras Raras";"2017";1776936;1994,128;"Terras Raras_2017"
"Terras Raras";"2018";1647060;915,318;"Terras Raras_2018"
"Titânio";"2016";24128458;33111,988;"Titânio_2016"
"Titânio";"2017";30673251;74313,256;"Titânio_2017"
"Titânio";"2018";38462680;116637,498;"Titânio_2018"
"Tungstênio";"2016";7235529;542,24;"Tungstênio_2016"
"Tungstênio";"2017";10959731;1212,19;"Tungstênio_2017"
"Tungstênio";"2018";11109460;1533,577;"Tungstênio_2018"
"Turfa";"2016";549812;1086,817;"Turfa_2016"
"Turfa";"2017";664920;2010,748;"Turfa_2017"
"Turfa";"2018";564984;1527,475;"Turfa_2018"
"Vanádio";"2016";55189193;7960,001;"Vanádio_2016"
"Vanádio";"2017";135194301;9225,005;"Vanádio_2017"
"Vanádio";"2018";357450936;9193,2;"Vanádio_2018"
"Vermiculita";"2016";15584247;36053,045;"Vermiculita_2016"
"Vermiculita";"2017";14136921;35605,796;"Vermiculita_2017"
"Vermiculita";"2018";14408065;36980,384;"Vermiculita_2018"
"Zinco";"2016";160635086;78934,414;"Zinco_2016"
"Zinco";"2017";226147501;80635,727;"Zinco_2017"
"Zinco";"2018";256783232;122466,177;"Zinco_2018"
"Zircônio";"2016";2680339;1490,99;"Zircônio_2016"
"Zircônio";"2017";2214118;1776,669;"Zircônio_2017"
"Zircônio";"2018";1814492;937,545;"Zircônio_2018"
