WDM;lista_Alvo;USGS;substancia.agrupadora
Bauxite;Alumínio (Bauxita);Bauxita.e.Alumina;Alumínio (Bauxita)
Asbestos;ND;ND;Amianto
Baryte;ND;ND;Bário
Bentonite;ND;Bentonita;Bentonita
Beryllium (conc.);ND;ND;Berílio
Bismuth;ND;ND;Bismuto
Cadmium;ND;ND;Cádmio
Limestone;Calcário;Calcário;Calcário
Coking Coal;Carvão Mineral;Carvão Mineral;Carvão Mineral
Kaolin (China-Clay);Caulim;Caulim;Caulim
Lead;Chumbo;Chumbo;Chumbo
Cobalt;Cobalto;Cobalto;Cobalto
Copper;Cobre;Cobre;Cobre
Chromium (Cr2O3);Cromo;Cromo;Cromo
Diamonds (Gem);ND;ND;Diamante
Diamonds (Ind);ND;ND;Diamante
Diatomite;ND;ND;Diatomita
Magnesite;Dolomito e Magnesita;Magnesita;Dolomito e Magnesita
Sulfur (elementar & industrial);ND;ND;Enxofre
Tin;Estanho;Estanho;Estanho
Feldspar;ND;ND;Feldspato, Leucita e Nefelina-Sienito
Iron (Fe);Ferro;Minério.de.ferro;Ferro
Fluorspar;ND;ND;Fluorita e Criolita
Phosphates (P2O5);Fosfato;Rocha.Fosfatica;Fosfato
Gypsum and Anhydrite;ND;ND;Gipsita
Graphite;Grafita;Grafita;Grafita
Lithium (Li2O);Lítio;Lítio;Lítio
Manganese;Manganês;Manganês;Manganês
Mercury;ND;ND;Mercúrio
Molybdenum;ND;ND;Molibdênio
Rare Earths Concentrates (REO);Monazita e Terras-Raras;Terras.raras;Monazita e Terras-Raras
Aluminium;ND;Alumínio;ND
Antimony;ND;ND;ND
Arsenic;ND;ND;ND
Boron minerals;ND;ND;ND
Gallium;ND;ND;ND
Germanium;ND;ND;ND
Indium;ND;ND;ND
Lignite;ND;ND;ND
Natural Gas;ND;ND;ND
Oil Sands (part of Petroleum);ND;ND;ND
Perlite;ND;ND;ND
Petroleum;ND;ND;ND
Rhenium;ND;ND;ND
Rhodium;ND;ND;ND
Selenium;ND;ND;ND
Tellurium;ND;ND;ND
Palladium;ND;ND;ND
ND;ND;Titânio.e.dióxido.de.titânio;ND
Niobium (Nb2O5);Nióbio;Nióbio;Nióbio
Nickel;Níquel;Níquel;Níquel
Gold;Ouro;Ouro;Ouro
Platinum;ND;ND;Platina (Grupo da)
Potash (K2O);Potássio;Potássio;Potássio
Silver;Prata;Prata;Prata
Salt (rock,brines,marine);ND;ND;Sal
Talc, Steatite & Pyrophyllite;ND;ND;Talco e outras Cargas Minerais
Tantalum (Ta2O5);Tântalo;Tântalo;Tântalo
Titanium (TiO2);Titânio;Concentrados.Minerais.de.Titânio;Titânio
Tungsten (W);Tungstênio;Tungstênio;Tungstênio
Uranium (U3O8);ND;ND;Urânio e outros Radioativos
Vanadium (V);Vanádio;Vanádio;Vanádio
Vermiculite;ND;ND;Vermiculita e Perlita
Oil Shales;ND;ND;Xisto e outras Rochas Betuminosas
Zinc;Zinco;Zinco;Zinco
Zircon;Zircônio;Zircônio.e.háfnio;Zircônio
Ornamental Rocks;Rochas Ornamentais;Rochas Ornamentais;Rochas Ornamentais
